wallet,tier
0x0061d151577c2bf506e601b7642635a6565a3d3f,1
0x0077c2093fd8e6a6277b84c2627619b80a72472b,1
0x010475e36100b427bb4dbddb2c023124bebd5a38,1
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,1
0x01faf6dfc230d755141d84d7cb980dd68f5efe13,1
0x0245daf2e303bd4e47acb88c87913a047c9ad6c5,1
0x0253ba3af2fa2e5553bbb4575716379fff068557,1
0x047cb070ba6bd4445c635f9294566c1b2b08a252,1
0x052f67d7037ddbd53ae107596484f1cb86a26b4c,1
0x06046a4b4474ceb2dd43fcbd3f46688c33c46c64,1
0x0655d3e8139b83592bd8da979aa6ffc058830bea,1
0x070307e236f4ecdabe258e3f8f0173c29ed5862a,1
0x08b592fa610b43d90ba949a637dc15dc141f4b3a,1
0x094a2ed822bea563b622652fbd85f1b34749d02a,1
0x09748d883d8fead17bf6bacd7078a9659e66aa0b,1
0x09e48c3c1fdf2935933d66a716d01b48d19c5bc3,1
0x0a9643381b7a6fe41e693c4dd0e4cae57bb2bd69,1
0x0c2207ccd7a3cc54af31d9009bc29b9dba1b3bcd,1
0x0da745f2bd7655e4c70d6b02695ca772c8d2f69e,1
0x0dab237c9a052674fc91bcd804349a83d89d02ba,1
0x0fab0ae71e988948aaa1bed86bdb751cd89b6b4d,1
0x108541e5122a04e97a279d5a3df18e0d71f27e16,1
0x10beefd08d5093194d968af616008fecac847bcb,1
0x11839b17a6d034d96d9f05077cdc935f3db56fc8,1
0x12f2a9694c53c8274748d88ddf411260336f1515,1
0x13fad43cec2c57053c12ca4da10410638f9593df,1
0x14f2389b991810ae9e289177a3cefa659ebb952a,1
0x1593dcd54e5b5ae3974424325d4e802ee9533262,1
0x1616c359cc23d3dc1cf2086adf544cedcfb6883c,1
0x16ac300ece93ededb57286937eb91451ec65b967,1
0x16de92aaac3c5919559b97d33629d6a4d954526d,1
0x1751f7250e0bc37605ec6225e6f206027dbf384d,1
0x17cfd7f0df17ffca51800b8e28fd3b8252dd3208,1
0x18a698b167e61388eb9953f42b88c5d92f26dd82,1
0x18d5346216315667c51d69f346e3c768136f8018,1
0x19c88f6b5e5a274eace401b7699fd6b6f2d67a65,1
0x1a6dee61fe27f06cd14378e53be71679db3b62b4,1
0x1b00ea832ddcdfaf5cbefa73dc06af9f5e4416d1,1
0x1bb3ea2b525feee67271778336b8b9b813273d5e,1
0x1c440b4293ca7514349d0ecaed66b05d5474d575,1
0x1dab3ce0c753c6176d19471e3026a32f629cac79,1
0x1e0e220bc5e70f0e0dfd58b8c5f80c485a245785,1
0x1f42a95385786558b90ff5a3250625cfb510dc7b,1
0x2072d905d301143a561a154204b432441ef4bed1,1
0x2075e5ed7702dd03cf7cfe06c45277c89817b189,1
0x21fba5456cd1f1304642c25293dc58976fdc4059,1
0x251a11a49b45f9ee2320e9cfc978994830b93ded,1
0x27359c2df8a15a1d09d4a5c993148e1f4218ef58,1
0x29abbdea47c7919d5ecf5c8310abe3f7a860ec22,1
0x29c66f54fe449041555d510afd0c1657fb3624e4,1
