wallet,tier,nft_balance,sbt_tickets,nft_tickets,tickets
0x0655d3e8139b83592bd8da979aa6ffc058830bea,1,1,3,1,4
0xf9e9d488adc848fefc5eff30d450fb60922c9e28,1,4,3,4,7
0x1e0e220bc5e70f0e0dfd58b8c5f80c485a245785,1,4,3,4,7
0xa320daa989ae8d6d7813340697f4f9e75f5b78e8,1,1,3,1,4
0xf8baf2541defab76f2c344ff10cd6d4ef74d3432,1,1,3,1,4
0xf56ba8755d9798559f722a089eb4f3f17b2f4fbb,1,3,3,3,6
0xf10ed040f182511ef2179adea749920881a4eef9,1,34,3,34,37
0x921d16b13fe619e4510c082892b3871f3c85498c,1,4,3,4,7
0x77a9e40c0b0033af3e2a7dc9344327bb91459a5f,1,4,3,4,7
0x7947d3a0a678f93a9ddb47a4153fcaa6c510a9f1,1,2,3,2,5
0x0dab237c9a052674fc91bcd804349a83d89d02ba,1,4,3,4,7
0xe9386a38d2279dfa3b39a85f23fff3c203cebaac,1,5,3,5,8
0x649995f20d11f54188e865d8a4adcfde4692ecd1,1,10,3,10,13
0x070307e236f4ecdabe258e3f8f0173c29ed5862a,1,8,3,8,11
0xdd9e75f14f0bc441ca3cacf5eada8d46d9d53174,1,5,3,5,8
0xbcddd321c83de95cb62b619409cbef39a5c1a267,1,4,3,4,7
0xec823eaffa4584f482a0d9c3e634840d14066242,1,35,3,35,38
0xdfc19dd5f80048df12d7a71cb01226f8ce24a954,1,34,3,34,37
0x18d5346216315667c51d69f346e3c768136f8018,1,49,3,49,52
0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,1,1,3,1,4
0x6e65f8a0d5637ee77c9cc0bb058bd2a1b09bb2c4,1,1,3,1,4
0x4a0dee34b540795d5174ef07a464bb118a4242db,1,10,3,10,13
0x37b28c48febd71b7d73ca907770523089a09a427,2,2,2,2,4
0xd55a1ca7d9843c6c507a1d5521cecf865ef2b02b,2,1,2,1,3
0xbcc24929108278944aa180ff8322b900356f7701,1,34,3,34,37
0x1dab3ce0c753c6176d19471e3026a32f629cac79,1,25,3,25,28
0x2c413cdef230dfa63db44e573e1cab18795a5d6d,1,2,3,2,5
0x6d2cea496ba329a0ce2a8e58719fc162c3d82c04,1,16,3,16,19
0xee7a7d85336aa5f6da385de1547c7381719d9d08,1,1,3,1,4
0x72b293417c86d21493f9a7b487eac2145fc08286,1,3,3,3,6
