wallet,nft_count,nft_tickets,sbt_tier,sbt_tickets,tickets
0x0061d151577c2bf506e601b7642635a6565a3d3f,1,1,diamond,2,3
0x0077c2093fd8e6a6277b84c2627619b80a72472b,4,4,diamond,2,6
0x0120e627f0835c4f5ef296b0c83e5a858356e124,1,1,none,0,1
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,5,5,diamond,2,7
0x01faf6dfc230d755141d84d7cb980dd68f5efe13,1,1,diamond,2,3
0x0253ba3af2fa2e5553bbb4575716379fff068557,20,21,diamond,2,23
0x0258497dd1ef35626e62ba9ebea716013a857e53,2,2,diamond,2,4
0x047cb070ba6bd4445c635f9294566c1b2b08a252,1,1,diamond,2,3
0x052f67d7037ddbd53ae107596484f1cb86a26b4c,1,1,diamond,2,3
0x06046a4b4474ceb2dd43fcbd3f46688c33c46c64,2,2,diamond,2,4
0x0655d3e8139b83592bd8da979aa6ffc058830bea,1,2,diamond,2,4
0x070307e236f4ecdabe258e3f8f0173c29ed5862a,9,11,diamond,2,13
0x0856bfbea9a7f397438a1db6bb68ed70b7c8a451,1,1,diamond,2,3
0x0880a33c861e93802ef66e3124dd82d35dd390de,1,1,none,0,1
0x08b592fa610b43d90ba949a637dc15dc141f4b3a,9,11,diamond,2,13
0x09748d883d8fead17bf6bacd7078a9659e66aa0b,2,2,diamond,2,4
0x09bfeb8b5f91c0cc588677cb118cc6fb38f3e152,1,2,none,0,2
0x0b14e4fcc10bd0da224b823b6d783f10f7a75634,1,1,none,0,1
0x0bbd7a355d1bafedf2bac2a07b32a2a7c211547c,2,2,none,0,2
0x0c12a69ff67722775133a7246ee9da11c0180b16,1,1,none,0,1
0x0c2207ccd7a3cc54af31d9009bc29b9dba1b3bcd,1,1,diamond,2,3
0x0da745f2bd7655e4c70d6b02695ca772c8d2f69e,1,1,diamond,2,3
0x0dab237c9a052674fc91bcd804349a83d89d02ba,4,6,diamond,2,8
0x0ddba5bb56a41e142a00e36a973ac062eec8798e,1,1,none,0,1
0x0fab0ae71e988948aaa1bed86bdb751cd89b6b4d,1,1,diamond,2,3
0x108541e5122a04e97a279d5a3df18e0d71f27e16,1,1,diamond,2,3
0x10beefd08d5093194d968af616008fecac847bcb,2,3,diamond,2,5
0x11839b17a6d034d96d9f05077cdc935f3db56fc8,1,1,diamond,2,3
0x1198a5528e850019f2cae9d3445e7a7290d60ffd,1,1,none,0,1
0x1273b365e783cf2d6d31ca750eba471671d34af7,1,1,none,0,1
0x12f2a9694c53c8274748d88ddf411260336f1515,1,1,diamond,2,3
0x1324a5801682f3486de7bcc83a204cc532dd6ded,1,1,none,0,1
0x13715c355c5f11b6876bcdcebc7c96aecaa0a56d,2,2,none,0,2
0x13fad43cec2c57053c12ca4da10410638f9593df,3,4,diamond,2,6
0x1518b126fc0ac13c17675e1501629f9887e39514,1,1,diamond,2,3
0x1593dcd54e5b5ae3974424325d4e802ee9533262,1,1,diamond,2,3
0x1616c359cc23d3dc1cf2086adf544cedcfb6883c,5,5,diamond,2,7
0x16de92aaac3c5919559b97d33629d6a4d954526d,1,1,diamond,2,3
0x1712194eab575e569ae4d6b6f16046ca5efe3a6a,1,1,diamond,2,3
0x1751f7250e0bc37605ec6225e6f206027dbf384d,1,1,diamond,2,3
0x17ddb6e3dc9af4a03c6bd4c1ef49705d4f3c65e6,1,1,none,0,1
0x189a8ec283d52174b4d8c18a760fbf4d4b1027bb,2,2,none,0,2
0x18a698b167e61388eb9953f42b88c5d92f26dd82,1,1,diamond,2,3
0x19c88f6b5e5a274eace401b7699fd6b6f2d67a65,2,3,diamond,2,5
0x1bb3ea2b525feee67271778336b8b9b813273d5e,12,17,diamond,2,19
0x1c440b4293ca7514349d0ecaed66b05d5474d575,1,1,diamond,2,3
0x1cc533c9bdc845ac3f6209ec8e7e51d3a86cbefe,1,1,diamond,2,3
0x1dab3ce0c753c6176d19471e3026a32f629cac79,25,25,diamond,2,27
0x1e0e220bc5e70f0e0dfd58b8c5f80c485a245785,4,5,diamond,2,7
0x1f42a95385786558b90ff5a3250625cfb510dc7b,2,2,diamond,2,4
0x20259988e2c250b56afb6e65db6d163e6345ac96,1,1,none,0,1
0x2072d905d301143a561a154204b432441ef4bed1,1,1,diamond,2,3
0x2075e5ed7702dd03cf7cfe06c45277c89817b189,2,2,diamond,2,4
0x20ee15f4f2fce1c0c909b728f7b3f26e4173eb9c,1,1,diamond,2,3
0x21fba5456cd1f1304642c25293dc58976fdc4059,1,1,diamond,2,3
0x221819fc094b95cb6c71f2da5c424aeec05e6d75,3,3,none,0,3
0x23a4da1382460640303d27c4daaa0bcbb403ca47,1,1,diamond,2,3
0x23d40928e94075a8944f20693e29ce3bc0ea11d9,1,1,none,0,1
0x251a11a49b45f9ee2320e9cfc978994830b93ded,1,1,diamond,2,3
0x2598cd5553de991eb8e948e7400c02814f529c01,1,2,none,0,2
0x268abbdffea337331cd20ee7706b16c27956a311,1,1,none,0,1
0x26f5282083ecd9473f0a92f30d897c6d74413e0f,2,2,none,0,2
0x27359c2df8a15a1d09d4a5c993148e1f4218ef58,2,2,diamond,2,4
